,OBS_ID,TIMETAG,ARNUMBER,LOC,LATD,LOND,LONH,AREA,Z,LL,NN,MAGTYPE,OBS,Timetag
0,0.0,1985-05-18 00:00:00,0,N08E-17,8,-14,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-05-17 18:15:00
1,0.0,1984-12-30 00:00:00,4614,N02E-49,2,-36,0.0,10,AXX,0.0,0.0,ALPHA,MANI,1984-12-29 01:17:00
2,0.0,1985-01-06 00:00:00,4614,N07W17,7,23,0.0,10,AXX,0.0,0.0,ALPHA,RAMY,1985-01-05 13:31:00
3,0.0,1985-01-07 00:00:00,4614,N07W18,7,22,0.0,10,AXX,0.0,0.0,ALPHA,HOLL,1985-01-06 16:45:00
4,0.0,1985-01-08 00:00:00,4614,S-13W02,-13,5,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-07 19:35:00
5,0.0,1985-01-09 00:00:00,4614,N05E-66,5,-63,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-08 19:36:00
6,0.0,1985-01-10 00:00:00,4614,N07E-61,7,-48,0.0,10,AXX,0.0,0.0,ALPHA,LEAR,1985-01-09 02:45:00
7,0.0,1985-01-13 00:00:00,4616,S-07E-20,-7,-20,0.0,20,BXO,0.0,0.0,ALPHA,MANI,1985-01-12 23:45:00
8,0.0,1985-01-14 00:00:00,4616,S-06E-10,-6,-5,0.0,80,DSI,0.0,0.0,BETA,BOUL,1985-01-13 15:25:00
9,0.0,1985-01-15 00:00:00,4616,S-08W05,-8,7,0.0,170,DAI,0.0,0.0,BETA,PALE,1985-01-14 20:05:00
10,0.0,1985-01-16 00:00:00,4616,S-06W21,-6,21,0.0,100,DAI,0.0,0.0,BETA,HOLL,1985-01-15 23:13:00
11,0.0,1985-01-17 00:00:00,4616,S-07W35,-7,35,0.0,290,DAI,0.0,0.0,BETA-DELTA,MANI,1985-01-16 23:53:00
12,0.0,1985-01-18 00:00:00,4616,S-07W47,-7,49,0.0,230,DAI,0.0,0.0,BETA-DELTA,PALE,1985-01-17 20:20:00
13,0.0,1985-01-19 00:00:00,4616,S-07W58,-7,60,0.0,240,DAO,0.0,0.0,BETA,PALE,1985-01-18 19:50:00
14,0.0,1985-01-20 00:00:00,4616,S-05W75,-5,78,0.0,100,CSO,0.0,0.0,BETA,PALE,1985-01-19 18:30:00
15,0.0,1985-01-21 00:00:00,4616,S-05W87,-5,90,0.0,40,CSO,0.0,0.0,BETA,PALE,1985-01-20 19:13:00
16,0.0,1985-01-20 00:00:00,4617,S-09W10,-9,13,0.0,90,CAO,0.0,0.0,BETA,PALE,1985-01-19 18:30:00
17,0.0,1985-01-21 00:00:00,4617,S-09W23,-9,26,0.0,680,EKI,0.0,0.0,BETA-GAMMA-DELTA,PALE,1985-01-20 19:13:00
18,0.0,1985-01-22 00:00:00,4617,S-08W37,-8,40,0.0,750,EKI,0.0,0.0,BETA-GAMMA-DELTA,PALE,1985-01-21 19:35:00
19,0.0,1985-01-23 00:00:00,4617,S-10W47,-10,51,0.0,430,EKO,0.0,0.0,BETA-GAMMA-DELTA,BOUL,1985-01-22 17:10:00
20,0.0,1985-01-24 00:00:00,4617,S-11W63,-11,66,0.0,270,EAI,0.0,0.0,BETA-GAMMA,HOLL,1985-01-23 19:46:00
21,0.0,1985-01-25 00:00:00,4617,S-08W79,-8,80,0.0,140,EKI,0.0,0.0,BETA-GAMMA,PALE,1985-01-24 22:24:00
22,0.0,1985-01-26 00:00:00,4617,S-10W80,-10,91,0.0,540,DAO,0.0,0.0,BETA,MANI,1985-01-25 05:13:00
23,0.0,1985-01-20 00:00:00,4618,N03E-44,3,-41,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-19 18:30:00
24,0.0,1985-01-21 00:00:00,4618,N03E-31,3,-28,0.0,60,DAO,0.0,0.0,BETA,PALE,1985-01-20 19:13:00
25,0.0,1985-01-22 00:00:00,4618,N04E-16,4,-13,0.0,20,CRO,0.0,0.0,BETA,PALE,1985-01-21 19:35:00
26,0.0,1985-01-23 00:00:00,4618,N04E-03,4,1,0.0,10,CSO,0.0,0.0,BETA,BOUL,1985-01-22 17:10:00
27,0.0,1985-01-24 00:00:00,4618,N06W14,6,17,0.0,40,DSO,0.0,0.0,BETA,HOLL,1985-01-23 19:46:00
28,0.0,1985-01-25 00:00:00,4618,N08W28,8,29,0.0,10,BXO,0.0,0.0,BETA,PALE,1985-01-24 22:24:00
29,0.0,1985-01-26 00:00:00,4618,N08W41,8,44,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-25 18:42:00
30,0.0,1985-01-21 00:00:00,4619,S-07E-55,-7,-52,0.0,20,BXO,0.0,0.0,BETA,PALE,1985-01-20 19:13:00
31,0.0,1985-01-22 00:00:00,4619,S-08E-41,-8,-38,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-21 19:35:00
32,0.0,1985-01-23 00:00:00,4619,S-06E-32,-6,-25,0.0,20,HAX,0.0,0.0,ALPHA,RAMY,1985-01-22 12:15:00
33,0.0,1985-01-27 00:00:00,4619,N07W23,7,26,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-26 19:12:00
34,0.0,1985-01-28 00:00:00,4619,N04W28,4,42,0.0,10,AXX,0.0,0.0,ALPHA,LEAR,1985-01-27 00:10:00
35,0.0,1985-02-01 00:00:00,4620,S-14E-01,-14,2,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-31 19:45:00
36,0.0,1985-02-02 00:00:00,4620,S-15W15,-15,17,0.0,10,BXO,0.0,0.0,BETA,PALE,1985-02-01 19:57:00
37,0.0,1985-02-03 00:00:00,4620,S-15W26,-15,26,0.0,20,BXO,0.0,0.0,ALPHA,MANI,1985-02-02 23:48:00
38,0.0,1985-02-04 00:00:00,4620,S-14W38,-14,39,0.0,20,CRO,0.0,0.0,BETA,PALE,1985-02-03 22:13:00
39,0.0,1985-02-05 00:00:00,4620,S-19W46,-19,51,0.0,10,AXX,0.0,0.0,ALPHA,BOUL,1985-02-04 16:21:00
40,0.0,1985-02-06 00:00:00,4620,S-15W52,-15,65,0.0,10,AXX,0.0,0.0,ALPHA,LEAR,1985-02-05 01:15:00
41,0.0,1985-02-01 00:00:00,4621,N19E-01,19,2,0.0,10,AXX,0.0,0.0,ALPHA,PALE,1985-01-31 19:45:00
